signature	PRISM_MoA	PRISM_gene_target	CTRP_MoA	CTRP_gene_target	GDSC_MoA	GDSC_gene_target
VTP-27999_PRISM_K81694556	RENIN INHIBITOR	REN	NA	NA	NA	NA
BMS-265246_PRISM_K62814476	CDK INHIBITOR	CDK1,CDK2	NA	NA	NA	NA
BMS-387032_PRISM_K43389698	CDK INHIBITOR, CELL CYCLE INHIBITOR, MCL1 INHIBITOR	CDK2, CDK7, CDK9	inhibitor of cyclin-dependent kinases	CDK16,CDK17,CDK2,CDK7,CDK9,CDKL5	NA	NA
fumonisin B1_CTRP_A63646118	NA	NA	inhibitor of ceramide synthase	CERS1,CERS2,CERS3,CERS4,CERS5,CERS6	NA	NA
UNC0638_CTRP_K86856088	HISTONE LYSINE METHYLTRANSFERASE INHIBITOR	EHMT1, EHMT2	inhibitor of EHMT2 and GLP methyltransferase	EHMT1,EHMT2	Chromatin histone methylation	G9a and GLP methyltransferases
R406_PRISM_K20285085	SYK INHIBITOR	RET, SYK	NA	NA	NA	NA
CZC24832_GDSC_1615	PI3K INHIBITOR	 PIK3CG	NA	NA	PI3K/MTOR signaling	PI3Kgamma
AZD2014_GDSC_1441	MTOR INHIBITOR	MTOR	NA	NA	PI3K/MTOR signaling	mTORC1, mTORC2
BRD-K04800985_CTRP_K04800985	NA	NA	product of diversity oriented synthesis	NA	NA	NA
itraconazole_CTRP_A34817987	CYTOCHROME P450 INHIBITOR	CYP51A1	anti-fungal agent; inhibitor of hedgehog signaling pathway	NA	NA	NA
7-hydroxystaurosporine_PRISM_K45293975	CDK INHIBITOR, CHK INHIBITOR, PKC INHIBITOR	CDK1, CHEK1, CHEK2, GSK3B, LCK, MAPK14, MARK1, MARK3, PDPK1, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG	NA	NA	NA	NA
BRD-K75009076-001-02-1_PRISM_K75009076	NA	NA	NA	NA	NA	NA
SAR131675_PRISM_K38904395	VEGFR INHIBITOR	FLT4	NA	NA	NA	NA
navarixin_PRISM_K82850175	CC CHEMOKINE RECEPTOR ANTAGONIST	CXCR1, CXCR2	NA	NA	NA	NA
PLX-4032_CTRP_K56343971	RAF INHIBITOR	BRAF, RAF1	inhibitor of BRAF	BRAF	NA	NA
oncrasin-1_PRISM_K43449605	APOPTOSIS STIMULANT	NA	NA	NA	NA	NA
IEM1754_PRISM_K80060353	GLUTAMATE RECEPTOR ANTAGONIST	GRIA1	NA	NA	NA	NA
FK-3311_PRISM_K38350380	CYCLOOXYGENASE INHIBITOR	PTGS2	NA	NA	NA	NA
HBX-41108_CTRP_K50501969	NA	NA	inhibitor of the deubiquitinase activity of USP7	USP7	NA	NA
Cediranib_GDSC_1922	KIT INHIBITOR, VEGFR INHIBITOR	CSF1R, FLT1, FLT3, FLT4, KDR, KIT, PDGFRA, PDGFRB	inhibitor of VEGFRs	FLT1,FLT4,KDR	RTK signaling 	VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB
LJI308_GDSC_2107	NA	NA	NA	NA	PI3K/MTOR signaling	RSK2, RSK1, RSK3